Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST003587		phenotype	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
GCST003588		phenotype	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
GCST003588		phenotype	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, squamous cell lung carcinoma, lung adenocarcinoma
GCST003589		background	asthma
GCST003590		biomarker	apolipoprotein a4 levels
GCST003591		phenotype	severity of facial solar lentigines
GCST003598		phenotype	qrs duration
GCST003600		interaction	pesticide exposure
GCST003603		side effect	thiopurine for inflammatory bowel disease
GCST003605		background	egfr mutation-positive
GCST003605		stratified	EGFR mutation
GCST003606		background	hiv/hepatitis c co-infection
GCST003607		phenotype	knee peak torque response
GCST003608		phenotype	maximal oxygen uptake response
GCST003609		response, biomarker	thiopurine methyltransferase activity in all patients treated with mercaptopurines
GCST003610		phenotype	spine bmd
GCST003611		phenotype	hip bmd
GCST003612		background	femoral neck
GCST003614		phenotype	opioid dependence
GCST003615		phenotype	susceptibility
GCST003616		background	alagille syndrome
GCST003617		response, biomarker	statins, hdl
GCST003618		phenotype	spontaneous
GCST003620		phenotype	systemic lupus erythematosus
GCST003621		phenotype	coffee consumption
GCST003623		phenotype	age 2
GCST003624		phenotype	age 2 with doctor diagnosis
GCST003625		phenotype	age 1 with doctor diagnosis
GCST003626		phenotype	age 1
GCST003627		side effect	taxane for breast cancer
GCST003628		side effect	clozapine for treatment-resistant schizophrenia
GCST003629		biomarker	nicotine metabolite ratio
GCST003630		phenotype	qrs amplitude, r wave amplitude
GCST003632	C531617	phenotype	sporadic, survivial time
GCST003633		phenotype	middle facial morphology
GCST003634		phenotype	lower facial morphology traits (ordinal measurement)
GCST003635		phenotype	middle facial morphology
GCST003636		phenotype	lower facial morphology traits (quantitative measurement)
GCST003637		phenotype	facial morphology
GCST003638		phenotype	upper facial morphology traits
GCST003639		phenotype	breslow thickness
GCST003641		phenotype	facial width
GCST003642		phenotype	eye morphology
GCST003643		phenotype	nose morphology
GCST003644		phenotype	lip morphology
GCST003645		phenotype	facial height
GCST003646		phenotype	facial depth
GCST003648		phenotype	pathological
GCST003651		phenotype	non-familial, age of onset
GCST003652		phenotype	familial, age of onset
GCST003653		phenotype	age of onset
GCST003654		background	femoral neck (ward's triangle)
GCST003655		background	cutaneous
GCST003655		stratified	cutaneous
GCST003656		background	critical illness
GCST003657		phenotype	symptom score
GCST003658		phenotype	insulin sensitivity, bmi adjusted
GCST003659		interaction, phenotype	bmi, insulin sensitivity
GCST003660		biomarker	hdl
GCST003661		biomarker	triglyceride
GCST003662		biomarker	ldl
GCST003663		biomarker	total cholesterol
GCST003664		biomarker	lipid metabolites
GCST003665		biomarker	lipoprotein
GCST003666		biomarker	metabolite levels
GCST003667		phenotype	somatic complaints domain
GCST003668		phenotype	lack of positive affect domain
GCST003669		phenotype	lack of negative affect domain
GCST003672		side effect	docetaxel for metastatic castrate-resistant prostate cancer
GCST003672		treatment side effect	prostate cancer, metastatic castrate-resistant - docetaxel (peripheral neuropathy)
GCST003673		phenotype	average oxygen saturation during sleep
GCST003674		phenotype	apnea hypopnea index
GCST003675		phenotype	average respiratory event duration
GCST003676		phenotype	years of education
GCST003677		phenotype	college completion
GCST003678		pleiotropy, biomarker	c-reactive protein, total cholesterol
GCST003679		pleiotropy, biomarker	c-reactive protein, ldl
GCST003680		pleiotropy, phenotype	c-reactive protein, hdl
GCST003681		biomarker	c-reactive protein, triglyceride
GCST003682		interaction	snp x snp
GCST003683		pleiotropy	intracranial or abdominal aortic aneurysm
GCST003684		background	labor-initiated deliveries (maternal effect)
GCST003685		background	premature rupture of membrane-initiated deliveries (maternal effect)
GCST003687		background	labor-initiated deliveries (child effect)
GCST003689		background	premature rupture of membrane-initiated deliveries (child effect)
GCST003698		phenotype	brain activation in response to working memory task
GCST003718		phenotype	viral clearance
GCST003719		phenotype	attention function
GCST003723		biomarker	sulfate
GCST003727		phenotype	joint damage, height growth
GCST003739	C562730		
GCST003739		stratified	adenocarcinoma
GCST003740		pleiotropy	esophageal adenocarcinoma
GCST003741		phenotype	sleep duration
GCST003742		phenotype	early onset
GCST003743		biomarker	triglyceride
GCST003744		phenotype	mean interproximal clinical attachment
GCST003759		biomarker	resistin
GCST003760		background	head and neck squamous cell carcinoma
GCST003761		background	smoking
GCST003763		phenotype	age-related hearing impairment
GCST003766		phenotype	subjective well-being
GCST003767		phenotype	life satisfaction
GCST003768		phenotype	positive affect
GCST003774		biomarker	urinary albumin to creatinine ratio
GCST003777		phenotype	squamous
GCST003778		phenotype	current vs former
GCST003779		phenotype	cigarettes smoked per day
GCST003780		background	er-negative
GCST003780		stratified	ER-negative
GCST003781		background	er-positive
GCST003781		stratified	ER-positive?
GCST003782		background	er-negative
GCST003782		stratified	ER-negative
GCST003786		background	small intestine
GCST003786		stratified	small intestine
GCST003787		background	bronchial
GCST003787		stratified	bronchial
GCST003788		phenotype	neuroendocrine tumor
GCST003790		biomarker	glomerular filtration rate
GCST003791		response	metformin
GCST003792		side effect	anti-tuberculosis drug treatment
GCST003793		biomarker	l-arginine
GCST003794		response, background	gefitinib or erlotinib, egfr positive never smokers
GCST003795		phenotype	age at first birth
GCST003796		phenotype	number of children ever born
GCST003797		interaction, response	antihypertensive drug treatment (treatment strategy interaction)
GCST003798		background	childhood
GCST003800		response	bupropion
GCST003801		response	selective serotonin reuptake inhibitors
GCST003802		response	citalopram or escitalopram
GCST003803		response	antidepressants
GCST003804		response	non-response to bupropion
GCST003805		response	hydrochlorothiazide
GCST003806		response	bupropion
GCST003807		response	hydrochlorothiazide
GCST003808		response	non-response to selective serotonin reuptake inhibitors
GCST003809		response	selective serotonin reuptake inhibitors
GCST003810		response	non-response to citalopram or escitalopram
GCST003811		response	citalopram or escitalopram
GCST003812		response	non-response to antidepressants
GCST003813		response	antidepressants
GCST003815		phenotype	late onset
GCST003816		response	aromatase inhibitor
GCST003816		treatment response	aromatase inhibitor
GCST003818		phenotype	resting heart rate
GCST003821		biomarker	er status
GCST003821		stratified	ER-negative
GCST003822		phenotype	er status in her2 positive breast cancer
GCST003823		phenotype	er status in her2 negative breast cancer
GCST003823		stratified	ER-negative
GCST003824		side effect	interferon-based therapy in chronic hepatitis c
GCST003826		background, phenotype	never-smokers, pre bronchodilator fev1/fvc ratio
GCST003828		phenotype	chronic
GCST003829		phenotype	recurrent
GCST003830		response, phenotype	bronchodilator, change in fev1
GCST003832		phenotype	childhood onset
GCST003833		phenotype	adult
GCST003834		phenotype	intracranial volume
GCST003835		interaction	stressful life events
GCST003838		phenotype	morning vs. evening chronotype
GCST003839		phenotype	sleep duration
GCST003840		phenotype	sleep duration (oversleepers vs undersleepers)
GCST003841		phenotype	thiopurine methyltransferase activity
GCST003842		background	er-negative
GCST003842		stratified	ER-negative
GCST003843		phenotype	petaloid toenail
GCST003844		phenotype	qrs complex, qrs duration
GCST003845		background	er-negative
GCST003845		stratified	ER-negative
GCST003846		biomarker	caffeine metabolism (plasma 1,3,7-trimethylxanthine (caffeine) level)
GCST003847		biomarker	caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)
GCST003848		biomarker	caffeine metabolism (plasma 1,3-dimethylxanthine (theophylline) level)
GCST003849		biomarker	caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)
GCST003850		biomarker	caffeine metabolism (plasma 1,3,7-trimethyluric acid level)
GCST003851		biomarker	caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)
GCST003852		response	dendritic cell-based immunotherapy
GCST003853		phenotype	hip cartilage thickness
GCST003854		phenotype	gut microbiota (functional units)
GCST003855		phenotype	gut microbiota (bacterial taxa)
GCST003856		phenotype	central corneal thickness
GCST003857		phenotype	oral cavity and pharyngeal cancer
GCST003860		interaction	alcohol dependence
GCST003861		background	type 1 diabetes
GCST003862		background	type 1 diabetes
GCST003863		background	type 1 diabetes
GCST003864		background	type 1 diabetes
GCST003865		background	type 1 diabetes
GCST003866		background	type 1 diabetes
GCST003867		background	type 1 diabetes
GCST003868		phenotype	job-related exhaustion in shift workers
GCST003870		phenotype	qrs amplitude, qrs complex
GCST003871		phenotype	qrs amplitude, qrs complex
GCST003872		phenotype	qrs amplitude, qrs complex
GCST003873		interaction	alcohol consumption
GCST003873		interaction or exposure	alcohol and smoking
GCST003874		interaction	smoking status
GCST003875		phenotype	gut microbiota (bacterial taxa)
GCST003876		phenotype	gut microbiota (beta diversity)
GCST003879		biomarker	parathyroid hormone
GCST003882		phenotype	parental longevity
GCST003898		side effect	cisplatin
GCST003899		response, background, phenotype	clopidogrel therapy in healthy amish, platelet reactivity
GCST003900		background	smoking status
GCST003902		phenotype	fast beta electroencephalogram
GCST003918		phenotype	idiopathic osteonecrosis
GCST003919		interaction, phenotype	alcohol consumption, spine bmd
GCST003920		phenotype	hip bmd, alcohol drinking
GCST003921		interaction	alcohol consumption
GCST003923		biomarker	ddt metabolite
GCST003924		phenotype	renal overload
GCST003926		phenotype	renal underexcretion
GCST003927		phenotype	dysmenorrheic pain
GCST003929		biomarker	magnesium/calcium ratio in urine
GCST003931		biomarker	beta-carotene
GCST003932		biomarker	lutein
GCST003933		biomarker	zeaxanthin
GCST003934		biomarker	cryptoxanthin
GCST003935		biomarker	alpha-tocopherol
GCST003936		biomarker	gamma-tocopherol
GCST003937		biomarker	retinol levels
GCST003938		biomarker	alpha-carotene
GCST003939		side effect	chemotherapy
GCST003940		phenotype	skin barrier function (trans-epidermal water loss)
GCST003941		background	bone marrow transplantation (recipient effect)
GCST003942		background	bone marrow transplantation (recipient effect)
GCST003943		biomarker	hepicidin
GCST003944		phenotype	hepcidin/ferritin ratio
GCST003945		phenotype	hepcidin/transferrin saturation ratio
GCST003961		phenotype	hippocampal volume
GCST003963		response	post total joint replacement surgery for osteoarthritis
GCST003964		side effect	bortezomib for multiple myeloma
GCST003965		phenotype	subcutaneous adipose tissue
GCST003966		phenotype	visceral adipose tissue
GCST003967		phenotype	visceral adipose tissue, bmi adjusted
GCST003968		phenotype	pericardial adipose tissue, height and weight adjusted
GCST003969		phenotype	visceral adipose tissue attenuation
GCST003970		phenotype	subcutaneous adipose tissue attenuation
GCST003971		phenotype	pericardial adipose tissue
GCST003972		phenotype	visceral:subcutaneous adipose tissue ratio
GCST003973		phenotype	visceral adipose tissue/subcutaneous adipose tissue ratio, bmi adjusted
GCST003974		phenotype	tonsillectomy risk
GCST003975		interaction	traffic air pollution exposure
GCST003979		phenotype	excessive daytime sleepiness
GCST003980		phenotype	sleep duration
GCST003982		phenotype	sleep traits
GCST003985		phenotype	breast size
GCST003989		phenotype	chin dimples
GCST003991		phenotype	susceptibility, childhood
GCST003992	C535300	phenotype	photic sneeze reflex
GCST003993		phenotype	age at onset
GCST003994		phenotype	age at voice drop
GCST003995		phenotype	tonsillectomy risk
GCST003996		phenotype	synophrys
GCST003998		phenotype	beighton score
GCST003999		phenotype	nose size
GCST004001		phenotype	bipolar disorder or attention deficit hyperactivity disorder
GCST004002		phenotype	bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder
GCST004004		phenotype	mean corpuscular volume
GCST004005		biomarker	hemoglobin
GCST004006		phenotype	mean corpuscular hemoglobin
GCST004007		phenotype	mean corpuscular hemoglobin concentration
GCST004010		interaction, phenotype	tricyclic/tetracyclic antidepressant, qt interval
